observation_id,group,x1,x2,response
obs-01,A,1.2000,2.0000,5.3600
obs-02,A,2.4000,1.1000,6.1800
obs-03,A,0.8000,2.8000,4.6200
obs-04,A,3.1000,1.5000,
obs-05,A,2.0000,2.2000,5.5200
obs-06,A,1.7000,1.8000,5.6400
obs-07,A,2.8000,0.9000,7.1800
obs-08,A,1.0000,2.5000,4.7000
obs-09,B,3.5000,1.4000,7.8400
obs-10,B,2.7000,2.3000,7.2400
obs-11,B,4.1000,1.0000,
obs-12,B,3.0000,1.9000,7.0400
obs-13,B,2.2000,2.7000,6.5800
obs-14,B,3.8000,1.2000,8.6600
obs-15,B,2.5000,2.1000,6.8600
obs-16,B,4.4000,0.8000,9.0000
obs-17,C,5.0000,1.7000,8.3200
obs-18,C,4.2000,2.6000,6.7200
obs-19,C,5.5000,1.3000,8.5800
obs-20,C,3.9000,2.4000,
obs-21,C,4.8000,1.6000,7.5000
obs-22,C,5.9000,0.7000,9.2400
obs-23,C,4.5000,2.0000,7.4000
obs-24,C,5.2000,1.1000,8.2200
